source,year,state,total_activities,sdg_1_coverage,sdg_1_name,sdg_2_coverage,sdg_2_name,sdg_3_coverage,sdg_3_name,sdg_4_coverage,sdg_4_name,sdg_5_coverage,sdg_5_name,sdg_6_coverage,sdg_6_name,sdg_7_coverage,sdg_7_name,sdg_8_coverage,sdg_8_name,sdg_9_coverage,sdg_9_name,sdg_10_coverage,sdg_10_name,sdg_11_coverage,sdg_11_name,sdg_12_coverage,sdg_12_name,sdg_13_coverage,sdg_13_name,sdg_14_coverage,sdg_14_name,sdg_15_coverage,sdg_15_name,sdg_16_coverage,sdg_16_name,sdg_17_coverage,sdg_17_name
NSW_Tenterfield_Rural_2025,2025,NSW,25,0.08,No Poverty,0.0,Zero Hunger,0.52,Good Health and Well-being,0.0,Quality Education,0.04,Gender Equality,0.08,Clean Water and Sanitation,0.04,Affordable and Clean Energy,0.44,Decent Work and Economic Growth,0.08,"Industry, Innovation and Infrastructure",0.04,Reduced Inequalities,0.32,Sustainable Cities and Communities,0.04,Responsible Consumption and Production,0.16,Climate Action,0.0,Life Below Water,0.24,Life on Land,0.32,"Peace, Justice and Strong Institutions",0.04,Partnerships for the Goals
NSW_Temora_Rural_2025,2025,NSW,81,0.0741,No Poverty,0.0247,Zero Hunger,0.5556,Good Health and Well-being,0.1605,Quality Education,0.037,Gender Equality,0.0617,Clean Water and Sanitation,0.0123,Affordable and Clean Energy,0.8148,Decent Work and Economic Growth,0.1358,"Industry, Innovation and Infrastructure",0.0123,Reduced Inequalities,0.4198,Sustainable Cities and Communities,0.0123,Responsible Consumption and Production,0.1605,Climate Action,0.0,Life Below Water,0.037,Life on Land,0.3457,"Peace, Justice and Strong Institutions",0.0494,Partnerships for the Goals
NSW_Upper Lachlan_Rural_2025,2025,NSW,4,0.0,No Poverty,0.0,Zero Hunger,0.25,Good Health and Well-being,0.0,Quality Education,0.0,Gender Equality,0.0,Clean Water and Sanitation,0.0,Affordable and Clean Energy,0.75,Decent Work and Economic Growth,0.0,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,1.0,Sustainable Cities and Communities,0.0,Responsible Consumption and Production,0.25,Climate Action,0.0,Life Below Water,0.0,Life on Land,0.25,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Sutherland_Urban_2025,2025,NSW,25,0.04,No Poverty,0.0,Zero Hunger,0.68,Good Health and Well-being,0.16,Quality Education,0.0,Gender Equality,0.04,Clean Water and Sanitation,0.08,Affordable and Clean Energy,0.8,Decent Work and Economic Growth,0.16,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.28,Sustainable Cities and Communities,0.08,Responsible Consumption and Production,0.32,Climate Action,0.0,Life Below Water,0.24,Life on Land,0.32,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Upper Hunter_Rural_2025,2025,NSW,53,0.1509,No Poverty,0.0,Zero Hunger,0.717,Good Health and Well-being,0.0566,Quality Education,0.0,Gender Equality,0.0943,Clean Water and Sanitation,0.0943,Affordable and Clean Energy,0.717,Decent Work and Economic Growth,0.1132,"Industry, Innovation and Infrastructure",0.0377,Reduced Inequalities,0.5283,Sustainable Cities and Communities,0.0189,Responsible Consumption and Production,0.2264,Climate Action,0.0,Life Below Water,0.1321,Life on Land,0.5472,"Peace, Justice and Strong Institutions",0.0566,Partnerships for the Goals
NSW_Uralla_Rural_2025,2025,NSW,29,0.1379,No Poverty,0.0345,Zero Hunger,0.5517,Good Health and Well-being,0.0345,Quality Education,0.069,Gender Equality,0.069,Clean Water and Sanitation,0.1034,Affordable and Clean Energy,0.7586,Decent Work and Economic Growth,0.069,"Industry, Innovation and Infrastructure",0.069,Reduced Inequalities,0.4138,Sustainable Cities and Communities,0.069,Responsible Consumption and Production,0.2759,Climate Action,0.0,Life Below Water,0.069,Life on Land,0.4138,"Peace, Justice and Strong Institutions",0.069,Partnerships for the Goals
NSW_Tweed_Urban_2025,2025,NSW,84,0.0714,No Poverty,0.0238,Zero Hunger,0.6071,Good Health and Well-being,0.0833,Quality Education,0.0357,Gender Equality,0.0952,Clean Water and Sanitation,0.0238,Affordable and Clean Energy,0.6905,Decent Work and Economic Growth,0.0714,"Industry, Innovation and Infrastructure",0.0238,Reduced Inequalities,0.381,Sustainable Cities and Communities,0.0357,Responsible Consumption and Production,0.3214,Climate Action,0.0357,Life Below Water,0.1786,Life on Land,0.2738,"Peace, Justice and Strong Institutions",0.0119,Partnerships for the Goals
NSW_The Hills_Urban_2025,2025,NSW,102,0.098,No Poverty,0.0196,Zero Hunger,0.5882,Good Health and Well-being,0.0588,Quality Education,0.0196,Gender Equality,0.0784,Clean Water and Sanitation,0.0294,Affordable and Clean Energy,0.6373,Decent Work and Economic Growth,0.1275,"Industry, Innovation and Infrastructure",0.0294,Reduced Inequalities,0.4608,Sustainable Cities and Communities,0.0784,Responsible Consumption and Production,0.1961,Climate Action,0.0098,Life Below Water,0.0784,Life on Land,0.3725,"Peace, Justice and Strong Institutions",0.0588,Partnerships for the Goals
NSW_Wagga Wagga_Urban_2025,2025,NSW,87,0.023,No Poverty,0.023,Zero Hunger,0.4598,Good Health and Well-being,0.1609,Quality Education,0.023,Gender Equality,0.1379,Clean Water and Sanitation,0.046,Affordable and Clean Energy,0.5287,Decent Work and Economic Growth,0.0575,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.4253,Sustainable Cities and Communities,0.046,Responsible Consumption and Production,0.1839,Climate Action,0.0345,Life Below Water,0.046,Life on Land,0.3448,"Peace, Justice and Strong Institutions",0.0345,Partnerships for the Goals
NSW_Waverley_Urban_2025,2025,NSW,35,0.0571,No Poverty,0.0,Zero Hunger,0.5714,Good Health and Well-being,0.2571,Quality Education,0.0286,Gender Equality,0.0286,Clean Water and Sanitation,0.0571,Affordable and Clean Energy,0.6571,Decent Work and Economic Growth,0.0571,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.2857,Sustainable Cities and Communities,0.0857,Responsible Consumption and Production,0.1143,Climate Action,0.0286,Life Below Water,0.1143,Life on Land,0.2571,"Peace, Justice and Strong Institutions",0.0571,Partnerships for the Goals
NSW_Wentworth_Rural_2025,2025,NSW,50,0.06,No Poverty,0.0,Zero Hunger,0.5,Good Health and Well-being,0.04,Quality Education,0.02,Gender Equality,0.12,Clean Water and Sanitation,0.02,Affordable and Clean Energy,0.56,Decent Work and Economic Growth,0.08,"Industry, Innovation and Infrastructure",0.06,Reduced Inequalities,0.54,Sustainable Cities and Communities,0.04,Responsible Consumption and Production,0.08,Climate Action,0.02,Life Below Water,0.02,Life on Land,0.48,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Warren_Rural_2025,2025,NSW,94,0.0745,No Poverty,0.0106,Zero Hunger,0.5851,Good Health and Well-being,0.0851,Quality Education,0.0426,Gender Equality,0.0957,Clean Water and Sanitation,0.0638,Affordable and Clean Energy,0.766,Decent Work and Economic Growth,0.1702,"Industry, Innovation and Infrastructure",0.0319,Reduced Inequalities,0.4894,Sustainable Cities and Communities,0.0638,Responsible Consumption and Production,0.234,Climate Action,0.0,Life Below Water,0.117,Life on Land,0.3936,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Willoughby_Urban_2025,2025,NSW,42,0.0,No Poverty,0.0,Zero Hunger,0.6429,Good Health and Well-being,0.119,Quality Education,0.0,Gender Equality,0.0476,Clean Water and Sanitation,0.0714,Affordable and Clean Energy,0.881,Decent Work and Economic Growth,0.1667,"Industry, Innovation and Infrastructure",0.0476,Reduced Inequalities,0.4762,Sustainable Cities and Communities,0.0952,Responsible Consumption and Production,0.1429,Climate Action,0.0,Life Below Water,0.0952,Life on Land,0.4048,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Wingecarribee_Urban_2025,2025,NSW,4,0.0,No Poverty,0.0,Zero Hunger,0.75,Good Health and Well-being,0.0,Quality Education,0.0,Gender Equality,0.0,Clean Water and Sanitation,0.0,Affordable and Clean Energy,0.75,Decent Work and Economic Growth,0.5,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.5,Sustainable Cities and Communities,0.25,Responsible Consumption and Production,0.25,Climate Action,0.0,Life Below Water,0.25,Life on Land,1.0,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
VIC_Kingston_Urban_2024,2024,VIC,93,0.0538,No Poverty,0.0108,Zero Hunger,0.6667,Good Health and Well-being,0.1183,Quality Education,0.043,Gender Equality,0.0538,Clean Water and Sanitation,0.0753,Affordable and Clean Energy,0.6667,Decent Work and Economic Growth,0.129,"Industry, Innovation and Infrastructure",0.0108,Reduced Inequalities,0.4946,Sustainable Cities and Communities,0.043,Responsible Consumption and Production,0.129,Climate Action,0.043,Life Below Water,0.0753,Life on Land,0.4301,"Peace, Justice and Strong Institutions",0.0108,Partnerships for the Goals
NT_Alice Springs_Urban_2025,2025,NT,11,0.0909,No Poverty,0.0,Zero Hunger,0.5455,Good Health and Well-being,0.0,Quality Education,0.0,Gender Equality,0.0909,Clean Water and Sanitation,0.0,Affordable and Clean Energy,0.4545,Decent Work and Economic Growth,0.0909,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.7273,Sustainable Cities and Communities,0.0,Responsible Consumption and Production,0.1818,Climate Action,0.0,Life Below Water,0.2727,Life on Land,0.2727,"Peace, Justice and Strong Institutions",0.0909,Partnerships for the Goals
NT_Barkly_Rural_2025,2025,NT,24,0.0417,No Poverty,0.0,Zero Hunger,0.7917,Good Health and Well-being,0.125,Quality Education,0.125,Gender Equality,0.1667,Clean Water and Sanitation,0.0417,Affordable and Clean Energy,0.5417,Decent Work and Economic Growth,0.0,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.4583,Sustainable Cities and Communities,0.0417,Responsible Consumption and Production,0.2083,Climate Action,0.0,Life Below Water,0.0833,Life on Land,0.4167,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Wollongong_Urban_2025,2025,NSW,161,0.0497,No Poverty,0.0,Zero Hunger,0.5528,Good Health and Well-being,0.087,Quality Education,0.0373,Gender Equality,0.1118,Clean Water and Sanitation,0.0683,Affordable and Clean Energy,0.6211,Decent Work and Economic Growth,0.118,"Industry, Innovation and Infrastructure",0.0373,Reduced Inequalities,0.4534,Sustainable Cities and Communities,0.0683,Responsible Consumption and Production,0.1615,Climate Action,0.0311,Life Below Water,0.1491,Life on Land,0.3043,"Peace, Justice and Strong Institutions",0.0373,Partnerships for the Goals
NSW_Weddin_Rural_2025,2025,NSW,33,0.0909,No Poverty,0.0,Zero Hunger,0.5152,Good Health and Well-being,0.0909,Quality Education,0.0606,Gender Equality,0.0606,Clean Water and Sanitation,0.0606,Affordable and Clean Energy,0.7576,Decent Work and Economic Growth,0.0909,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.4545,Sustainable Cities and Communities,0.0303,Responsible Consumption and Production,0.0909,Climate Action,0.0303,Life Below Water,0.0606,Life on Land,0.303,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Canterbury Banks_Urban_2025,2025,NSW,30,0.0333,No Poverty,0.0333,Zero Hunger,0.6667,Good Health and Well-being,0.2,Quality Education,0.0,Gender Equality,0.1333,Clean Water and Sanitation,0.0333,Affordable and Clean Energy,0.7667,Decent Work and Economic Growth,0.1667,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.5,Sustainable Cities and Communities,0.0333,Responsible Consumption and Production,0.1333,Climate Action,0.0,Life Below Water,0.0333,Life on Land,0.5,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NSW_Woollahra_Urban_2025,2025,NSW,54,0.1296,No Poverty,0.0,Zero Hunger,0.5,Good Health and Well-being,0.0185,Quality Education,0.0556,Gender Equality,0.0926,Clean Water and Sanitation,0.0556,Affordable and Clean Energy,0.5926,Decent Work and Economic Growth,0.0556,"Industry, Innovation and Infrastructure",0.0741,Reduced Inequalities,0.4074,Sustainable Cities and Communities,0.0185,Responsible Consumption and Production,0.1852,Climate Action,0.037,Life Below Water,0.0741,Life on Land,0.4074,"Peace, Justice and Strong Institutions",0.0,Partnerships for the Goals
NT_Katherine_Rural_2025,2025,NT,44,0.0227,No Poverty,0.0,Zero Hunger,0.6591,Good Health and Well-being,0.1136,Quality Education,0.1136,Gender Equality,0.0227,Clean Water and Sanitation,0.0227,Affordable and Clean Energy,0.7045,Decent Work and Economic Growth,0.0455,"Industry, Innovation and Infrastructure",0.0,Reduced Inequalities,0.6364,Sustainable Cities and Communities,0.0455,Responsible Consumption and Production,0.1591,Climate Action,0.0,Life Below Water,0.0455,Life on Land,0.4773,"Peace, Justice and Strong Institutions",0.0455,Partnerships for the Goals
